[2026-07-22 21:12:35.804]	 Removing "tmux-continuum"
[2026-07-22 21:12:35.808]	   "tmux-continuum" clean success
[2026-07-22 21:12:35.811]	 Removing "tmux-copycat"
[2026-07-22 21:12:35.815]	   "tmux-copycat" clean success
[2026-07-22 21:12:35.817]	 Removing "tmux-cpu"
[2026-07-22 21:12:35.821]	   "tmux-cpu" clean success
[2026-07-22 21:12:35.825]	 Removing "tmux-open"
[2026-07-22 21:12:35.828]	   "tmux-open" clean success
[2026-07-22 21:12:35.830]	 Removing "tmux-prefix-highlight"
[2026-07-22 21:12:35.835]	   "tmux-prefix-highlight" clean success
[2026-07-22 21:12:35.838]	 Removing "tmux-resurrect"
[2026-07-22 21:12:35.845]	   "tmux-resurrect" clean success
[2026-07-22 21:12:35.846]	 Removing "tmux-sensible"
[2026-07-22 21:12:35.850]	   "tmux-sensible" clean success
[2026-07-22 21:12:35.878]	 Done.

[2026-07-22 21:15:50.486]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-fzf tmux-plugins/tmux-open tmux-plugins/tmux-prefix-highlight tmux-plugins/tmux-quick-select tmux-plugins/tmux-sensible catppuccin/tmux
[2026-07-22 21:15:50.533]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/install_plugins
[2026-07-22 21:15:50.674]	 Installing "tmux-resurrect"
[2026-07-22 21:15:50.675]	 Installing "tmux-cpu"
[2026-07-22 21:15:50.677]	 Installing "tmux-copycat"
[2026-07-22 21:15:50.678]	 Installing "tmux-fzf"
[2026-07-22 21:15:50.681]	 Installing "tmux-continuum"
[2026-07-22 21:15:50.692]	 Installing "tmux-prefix-highlight"
[2026-07-22 21:15:50.700]	 Installing "tmux"
[2026-07-22 21:15:50.702]	 Installing "tmux-sensible"
[2026-07-22 21:15:50.702]	 Installing "tmux-quick-select"
[2026-07-22 21:15:50.753]	 Installing "tmux-open"
[2026-07-22 21:15:51.708]	   "tmux-quick-select" download fail
[2026-07-22 21:15:51.867]	   "tmux-fzf" download fail
[2026-07-22 21:15:52.195]	   "tmux-sensible" download success
[2026-07-22 21:15:52.242]	   "tmux-copycat" download success
[2026-07-22 21:15:52.256]	   "tmux-continuum" download success
[2026-07-22 21:15:52.294]	   "tmux-cpu" download success
[2026-07-22 21:15:52.312]	   "tmux-open" download success
[2026-07-22 21:15:52.585]	   "tmux" download success
[2026-07-22 21:16:08.159]	   "tmux-prefix-highlight" download success
[2026-07-22 21:16:09.936]	   "tmux-resurrect" download success
[2026-07-22 21:16:09.991]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/update_plugins all
[2026-07-22 21:16:10.037]	 Updating all plugins!
[2026-07-22 21:16:10.038]	 
[2026-07-22 21:16:11.205]	   "tmux-cpu" update success
[2026-07-22 21:16:11.207]	     | 已经是最新的。
[2026-07-22 21:16:11.259]	   "tmux-continuum" update success
[2026-07-22 21:16:11.269]	     | 已经是最新的。
[2026-07-22 21:16:11.280]	   "tmux-resurrect" update success
[2026-07-22 21:16:11.287]	   "tmux-copycat" update success
[2026-07-22 21:16:11.292]	     | 已经是最新的。
[2026-07-22 21:16:11.296]	     | 已经是最新的。
[2026-07-22 21:16:11.326]	   "tmux-prefix-highlight" update success
[2026-07-22 21:16:11.330]	     | 已经是最新的。
[2026-07-22 21:16:11.345]	   "tmux-sensible" update success
[2026-07-22 21:16:11.357]	     | 已经是最新的。
[2026-07-22 21:16:11.408]	   "tmux" update success
[2026-07-22 21:16:11.420]	     | 已经是最新的。
[2026-07-22 21:16:26.667]	   "tmux-open" update success
[2026-07-22 21:16:26.672]	     | 已经是最新的。
[2026-07-22 21:16:26.734]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/clean_plugins all
[2026-07-22 21:16:26.962]	 Done.

[2026-07-22 21:41:12.381]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-fzf tmux-plugins/tmux-open tmux-plugins/tmux-prefix-highlight tmux-plugins/tmux-quick-select tmux-plugins/tmux-sensible catppuccin/tmux
[2026-07-22 21:41:12.395]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/install_plugins
[2026-07-22 21:41:12.426]	 Already installed "tmux-copycat"
[2026-07-22 21:41:12.426]	 Already installed "tmux-resurrect"
[2026-07-22 21:41:12.426]	 Installing "tmux-quick-select"
[2026-07-22 21:41:12.426]	 Installing "tmux-fzf"
[2026-07-22 21:41:12.427]	 Already installed "tmux-continuum"
[2026-07-22 21:41:12.427]	 Already installed "tmux-cpu"
[2026-07-22 21:41:12.428]	 Already installed "tmux-sensible"
[2026-07-22 21:41:12.428]	 Already installed "tmux-prefix-highlight"
[2026-07-22 21:41:12.429]	 Already installed "tmux"
[2026-07-22 21:41:12.430]	 Already installed "tmux-open"
[2026-07-22 21:41:13.354]	   "tmux-quick-select" download fail
[2026-07-22 21:41:13.355]	   "tmux-fzf" download fail
[2026-07-22 21:41:13.393]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/update_plugins all
[2026-07-22 21:41:13.409]	 Updating all plugins!
[2026-07-22 21:41:13.409]	 
[2026-07-22 21:41:14.312]	   "tmux-cpu" update success
[2026-07-22 21:41:14.314]	     | 已经是最新的。
[2026-07-22 21:41:14.317]	   "tmux-open" update success
[2026-07-22 21:41:14.317]	   "tmux-copycat" update success
[2026-07-22 21:41:14.317]	   "tmux-resurrect" update success
[2026-07-22 21:41:14.319]	     | 已经是最新的。
[2026-07-22 21:41:14.319]	     | 已经是最新的。
[2026-07-22 21:41:14.319]	     | 已经是最新的。
